subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
Arid	arid	ENVO:01000230	arid	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An environmental condition in which annual precipitation is less than half of annual potential evapotranspiration.	2026-05-01
Arm	arm	UBERON:0001460	arm	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The part of the forelimb extending from the shoulder to the autopod[cjm].	2026-05-01
Arthropoda	arthropoda	NCBITaxon:6656	Arthropoda	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Aspirate	aspirate	NCIT:C13347	Aspirate	NCIT	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Fluid withdrawn from a body cavity, organ, cyst, or tumor.	2026-05-01
Bacteria	bacteria	NCBITaxon:2	Bacteria	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Bark	bark	PO:0004518	bark	PO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Langual Defn: The woody external covering of the stem, branch or root of a plant, as distinct and separate from the wood	2026-05-01
Beverage	beverage	FOODON:00003202	beverage	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A liquid prepared for consumption	2026-05-01
Biodegradation	biodegradation							kg_review_lit_check	bacdive	lit-audit: was ENVO:06105014 (a process, not a site); 'Biodegradation' as isolation source = biodegrading material — unmappable to a single term	2026-05-02
Biofilm	biofilm	ENVO:00002034	biofilm	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A complex aggregation of microorganisms marked by the excretion of a protective and adhesive matrix; usually adhering to	2026-05-01
Biofilter	biofilter	ENVO:00002152	biofilter	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A bioreactor which captures and, through the biological processes maintained in the medium it contains, degrades polluta	2026-05-01
Biopsy	biopsy	NCIT:C15189	Biopsy Procedure	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diag	2026-05-01
Bioreactor	bioreactor	ENVO:00002123	bioreactor	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A biomaterial containment unit which is capable of 1) containing a mass of environmental material which hosts an active 	2026-05-01
Bioremediation	bioremediation							codex_review_fix	bacdive	fix(codex): non-CURIE 'Bioremediation' from OLS GOLD result; unmapped	2026-05-02
Birds	birds	NCBITaxon:8782	Aves	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was FOODON:03401260 ('birds eggs'); 'Birds' as host taxon → NCBITaxon Aves; kg-review-promote: 'Birds' is the common name for class Aves	2026-05-02
Bladder	bladder	UBERON:0018707	bladder organ	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(codex): was 'bladder lumen'; bladder organ is the parent; kg-review-promote: 'Bladder' canonically refers to the urinary bladder organ in isolation-source context	2026-05-02
Bladder-stone	bladder stone	NCIT:C26707	Urinary Bladder Stone	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A concretion in the urinary bladder.	2026-05-01
Blood	blood	UBERON:0000178	blood	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A fluid that is composed of blood plasma and erythrocytes.	2026-05-01
Blood-culture	blood culture	NCIT:C16403	Blood Culture	NCIT	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was NCIT:C122437 ('Positive Blood Culture'); generic blood-culture sample uses parent NCIT term	2026-05-02
Bone	bone	UBERON:0001474	bone element	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	Skeletal element that is composed of bone tissue.	2026-05-01
Boreal	boreal	ENVO:01000174	forest biome	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was UBERON:8910010 (a nerve in Cancer borealis); kg-review-promote: 'Boreal' isolation source = boreal forest biome	2026-05-02
Bottled,-canned,-packed-food	bottled canned packed food	CHEBI:33290	food	CHEBI	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='food'	2026-05-01
Bovinae-Cow,-Cattle	bovinae cow cattle	NCBITaxon:9903	Bos	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='cattle'	2026-05-01
Brackish	brackish	ENVO:01001321	brackish water body	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A body of water which is primarily composed of brackish water.	2026-05-01
Brain	brain	UBERON:0000955	brain	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals 	2026-05-01
Bronchial-wash	bronchial wash	UBERON:0002185	bronchus	UBERON	skos:closeMatch	medium	semapv:ManualMappingCuration	manual_review	bacdive	fix: was ENVO:00000031 (wadi)	2026-05-02
Brown-Algae	brown algae	FOODON:03412395	brown algae	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Built-environment	built environment	mesh:D000076624	Built Environment	mesh	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	bacdive	lit-audit: was ExO:0000048; ExO is exposure-science chemicals; mesh is the conventional site term	2026-05-02
Caecal-content	caecal content	GENEPIO:0100899	caecal content	GENEPIO	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='caecal content'	2026-05-01
Canidae-Dog	canidae dog	NCBITaxon:9608	Canidae	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Canker	canker							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0005318 (canker sore disease); canker as plant lesion has no clean isolation-source ontology	2026-05-02
Caprinae-Sheep/Goat	caprinae sheep/goat	FOODON:03411328	goat	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='goat'	2026-05-01
Catheter	catheter	NCIT:C50344	Catheter Device	NCIT	skos:closeMatch	high	semapv:ManualMappingCuration	manual_review	bacdive	fix: was NCIT:C78232 (Catheter-Related Infection)	2026-05-02
Cave-water	cave water							codex_review_fix	bacdive	fix(codex): non-CURIE 'Cave-water' from OLS GOLD result; unmapped	2026-05-02
Cerebrospinal-fluid	cerebrospinal fluid	UBERON:0001359	cerebrospinal fluid	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A clear, colorless, bodily fluid, that occupies the subarachnoid space and the ventricular system around and inside the 	2026-05-01
Chicken	chicken	NCBITaxon:9031	Gallus gallus	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was ENVO:00002266 ('chicken breeding waste material'); 'Chicken' as host taxon → NCBITaxon; kg-review-promote: 'Chicken' is the common name for Gallus gallus	2026-05-02
Child	child	PATO:0001190	juvenile	PATO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	METPO:2000067 isolated from host with quality. Restored after 2026-05-05 audit: 'Child' denotes the host life-stage at isolation; PATO:0001190 'juvenile' is the canonical quality term and is the same target the existing standalone 'Juvenile' label uses. The BacDive transform now branches on the predicate-override token in this notes field and emits <organism> METPO:2000067 PATO:0001190 instead of the legacy <source> location_of <organism> shape (which is incoherent for a quality target).	2026-05-05
Clean-room	clean room	ENVO:03600000	cleanroom	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	codex_review_fix	bacdive	fix(codex): was NCIT:C106896 (ADCS-ADL questionnaire item)	2026-05-02
Climate	climate							kg_review_lit_check	bacdive	lit-audit: was ENVO:01001082 (long-term weather summary); not a site/material from which microbes are isolated	2026-05-02
Clinic	clinic	ENVO:03501182	clinic	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	"\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""This sense of clinic does not necessarily involve medical services.  For medical services see \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""medical clinic\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"".\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"""	2026-05-01
Cnidaria-Corals	cnidaria corals	mesh:D037421	Anthozoa	mesh	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='corals'	2026-05-01
Co-culture	co culture							kg_review_lit_check	bacdive	lit-audit: was mesh:D018920 (Coculture Techniques, a research method); 'Co-culture' = mixed-culture sample type — unmappable cleanly here	2026-05-02
Coalbed-water	coalbed water							codex_review_fix	bacdive	fix(codex): non-CURIE 'Coalbed-water' from OLS GOLD result; unmapped	2026-05-02
Coast	coast	ENVO:01000687	coast	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Used for both marine and lake coasts. The boundary of the coast is fuzzy and it overlaps both the water body and land in	2026-05-01
Cold	cold	PATO:0001306	decreased temperature	PATO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	METPO:2000068 isolated from environment with quality. Restored after 2026-05-05 audit: the legacy target PATO:0000256 'cold' is OBSOLETE in PATO; PATO:0001306 'decreased temperature' is the active replacement. exactMatch is justified because the BacDive 'Cold' isolation-source label denotes the same isolation-context concept that PATO:0001306 names — the categorical thermal-regime bin, not a separate finer-grained 'cold' notion. The BacDive transform emits <organism> METPO:2000068 PATO:0001306.	2026-05-05
Composting	composting	ENVO:00002170	compost	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was ENVO:01000550 ('composting toilet'); 'Composting' as substrate → compost material; kg-review-promote: 'Composting' isolation source = compost substrate	2026-05-02
Condition	condition							family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:00002874 ('air conditioning unit'); generic 'Condition' has no useful isolation-source target	2026-05-02
Container-Reservoir	container reservoir	ENVO:00000025	reservoir	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='reservoir'	2026-05-01
Contaminant	contaminant							kg_review_lit_check	bacdive	lit-audit: was NCIT:C84280 ('substance that makes a material impure'); too vague — unmapped	2026-05-02
Contamination	contamination	ENVO:00002204	anthropogenic contamination feature	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	An anthropogenic geographic feature which has increased levels of contaminants in its consituent materials.	2026-05-01
Cooling-tower	cooling tower	NCIT:C48957	Tower	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='tower'	2026-05-01
Coral-reef	coral reef	ENVO:00000150	coral reef	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A marine reef which is composed primarily of aragonite structures produced by living organisms, found in shallow, low-nu	2026-05-01
Core-sample	core sample	NCIT:C180316	Nucleotide Sequence Sample Name	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='sample'	2026-05-01
Cotton-other-fibres	cotton other fibres								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Crustacea	crustacea	NCBITaxon:6657	Crustacea	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Currency	currency	ENVO:00003896	currency note	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_fix	bacdive	promote(kg-review): legitimate fomite isolation source — banknotes/coins as substrate. ENVO:00003896 'currency note' is the right ontology target for microbe-on-currency studies. Promoted from ols4_auto closeMatch.	2026-05-02
Cystic-fibrosis	cystic fibrosis							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0009061 (disease); CF context isn't itself an isolation source — actual sources are lung/sputum samples from CF patients	2026-05-02
Dairy-product	dairy product	FOODON:00001256	dairy food product	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	bacdive	lit-audit: was NCIT:C413; FOODON is canonical for food categories	2026-05-02
Decomposing-algae	decomposing algae	NCBITaxon:2836	Bacillariophyta	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='algae'	2026-05-01
Decomposing-animal	decomposing animal	FOODON:00003004	animal	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='animal'	2026-05-01
Decomposing-plant	decomposing plant	NCIT:C14258	Plant	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='plant'	2026-05-01
Defined-media	defined media							codex_review_fix	bacdive	fix(codex): non-CURIE 'Defined-media' from OLS GOLD result; unmapped	2026-05-02
Dental-plaque	dental plaque	UBERON:0016482	dental plaque	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A soft, thin film of food debris, mucin, and dead epithelial cells deposited on the teeth, providing the medium for the 	2026-05-01
Desert	desert	ENVO:01001357	desert	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A landform which has been rendered barren or partially barren by environmental extremes, especially by low rainfall, and	2026-05-01
Digestive-fluid	digestive fluid	UBERON:0006911	digestive system secreted substance	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='digestive fluid'	2026-05-01
Dinoflagellate	dinoflagellate	NCBITaxon:2864	Dinophyceae	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	matched via NCBITaxon synonym 'Dinoflagellata'; kg-review-promote: 'Dinoflagellate' is the common name for class Dinophyceae	2026-05-02
Disease	disease							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0000001 (disease); too generic for isolation source	2026-05-02
Domestic-waste	domestic waste	ENVO:00002264	Waste	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='waste'	2026-05-01
Dust	dust	ENVO:00002008	dust	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Dust occurs in and may be deposited from the atmosphere.	2026-05-01
Dust-Ash	dust ash	ENVO:02000090	ash	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='ash'	2026-05-01
Ear	ear	UBERON:0001690	ear	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Sense organ in vertebrates that is specialized for the detection of sound, and the maintenance of balance. Includes the 	2026-05-01
Echinodermata	echinodermata	NCBITaxon:7586	Echinodermata	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Egg	egg	FOODON:00001274	egg food product	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	"\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""Regarding American regulatory aspects of egg products, see this summary:"	
Endosphere	endosphere							codex_review_fix	bacdive	fix(codex): non-CURIE 'Endosphere' from OLS GOLD result; unmapped	2026-05-02
Endosymbiont	endosymbiont							kg_review_lit_check	bacdive	lit-audit: was VariO:0570 (Variation Ontology, wrong family); 'endosymbiont' role has no clean isolation-source term — unmapped	2026-05-02
Engineered	engineered							manual_review	bacdive	unmapped: was FOODON:00001240 (rennet GE); 'Engineered' alone is too generic	2026-05-02
Engineered-product	engineered product							codex_review_fix	bacdive	fix(codex): non-CURIE 'Engineered-product' from OLS GOLD result; unmapped	2026-05-02
Environmental	environmental	ENVO:01000408	environmental zone	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A site which has its extent determined by the presence or influence of one or more components of an environmental system	2026-05-01
Epibiont	epibiont								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Equidae-Horse	equidae horse	NCBITaxon:9788	Equidae	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Estuary	estuary	ENVO:00000045	estuary	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to 	2026-05-01
Extracellular	extracellular	GO:0005615	extracellular space	GO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	manual override: original auto-mapping went to GO BP (process); replaced with GO CC (cellular component); kg-review-promote: 'Extracellular' isolation context = extracellular space (GO cellular component)	2026-05-02
Eye	eye	UBERON:0000970	eye	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An organ that detects light.	2026-05-01
Feces-Stool	feces stool	UBERON:0001988	feces	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	Portion of semisolid bodily waste discharged through the anus[MW,modified].	2026-05-01
Felidae-Cat	felidae cat	NCBITaxon:9681	Felidae	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Female	female	PATO:0000383	female	PATO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	METPO:2000067 isolated from host with quality. Restored after 2026-05-05 audit: PATO:0000383 'female' is the canonical biological-sex quality term for the host. The BacDive transform emits <organism> METPO:2000067 PATO:0000383.	2026-05-05
Fermented	fermented							family_mismatch_fix	bacdive	unmapped: was FOODON:00001098 'fermented apple beverage' (lexical mishit on cider); 'Fermented' as a generic adjective has no parent food/environment term in FOODON/ENVO/CHEBI at this granularity	2026-05-02
Field	field	ENVO:01000352	field	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	"\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""This class was created to accommodate \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""fields\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"" from agricultural fields to marine mesoscale eddy fields. Thus, it has a \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"""	2026-05-01
Fishes	fishes	NCBITaxon:7898	Actinopterygii	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was NCBITaxon:119695 (Calamus, a specific genus of ray-finned fishes); generic 'Fishes' → ray-finned fishes class; kg-review-promote: 'Fishes' commonly refers to Actinopterygii (ray-finned fishes, ~99% of fish species)	2026-05-02
Flower	flower	PO:0009046	flower	PO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A determinate reproductive shoot system (PO:0025082) that has as part at least one carpel (PO:0009030) or at least one s	2026-05-01
Fluids	fluids	NCIT:C13452	Other Body Fluids and Secretions	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	Liquid substances produced by living organisms to fulfill specific functions or excreted as waste. Secretions do not inc	2026-05-01
Foam	foam							manual_review	bacdive	unmapped: was ENVO:06105016 (foamed plastic); too specific, generic foam not in ENVO	2026-05-02
Food	food	CHEBI:33290	food	CHEBI	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Food-production	food production							family_mismatch_fix	bacdive	post-codex-#558: was FOODON:03530206 'food production' (a process, not a substrate)	2026-05-02
Foot	foot							family_mismatch_fix	bacdive	fix(family-mismatch): was UO:0010013 (unit of length 'foot'); 'Foot' as isolation source means anatomical foot, not a unit	2026-05-02
Forest	forest	ENVO:00000111	forested area	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	The definitions of forest can vary greatly, and different classes will be needed to support the major categories. Tree c	2026-05-01
Freshwater	freshwater	ENVO:00000873	freshwater biome	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	An aquatic biome which is determined by a body of freshwater.	2026-05-01
Fruit-Seed	fruit seed	FOODON:03420295	fruit seed (anatomical part)	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	LanguaL curation note: Renamed from *FRUIT OR BERRY, SEED ONLY in LanguaL 2008.	2026-05-01
Fungi	fungi	NCBITaxon:4751	Fungi	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Gall	gall							family_mismatch_fix	bacdive	fix(family-mismatch): was NCBITaxon:9031 (Gallus gallus / chicken — false partial-match on 'gall'); 'Gall' is bile/plant-tumor and has no clean ontology fit at this level	2026-05-02
Garden	garden	ENVO:00000011	garden	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An enclosure for displaying selected plant or animal life.	2026-05-01
Gastrointestinal-tract	gastrointestinal tract	UBERON:0005409	digestive tract	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	lit-audit: was NCIT:C34082 (Gastrointestinal Tract); UBERON canonical anatomy term; kg-review-promote: GI tract = digestive tract (synonyms in UBERON)	2026-05-02
Geologic	geologic							manual_review	bacdive	unmapped: was ENVO:01000667 (geological fracture); too specific	2026-05-02
Gingiva	gingiva	UBERON:0001828	gingiva	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The fibrous investing tissue, covered by keratinized epithelium, that immediately surrounds a tooth and is contiguous wi	2026-05-01
