trait_name	suggested_mapping_type	notes	frequency	example_traits
electron donor	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "uses as electron donor" + ChEBI lookup (complement to METPO:2000008 electron acceptor)	53	electron donor: dihydrogen; electron donor: acetate; electron donor: sulfide
builds acid from	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "produces acid from" + ChEBI lookup	28	builds acid from: glucose; builds acid from: lactose; builds acid from: fructose
required for growth	METPO_PREDICATE_NEEDED	Chemical/complex requirement - needs new METPO predicate for "requires for growth"; chemical lookup varies (ChEBI for vitamins, METPO for complex media)	22	required for growth: biotin; required for growth: cobalamin; required for growth: yeast extract
growth: chemical	METPO_PREDICATE_NEEDED	Chemical metabolic trait - growth on/with specific chemical substrate; needs predicate + ChEBI lookup	20	growth: 1% sodium lactate; growth: 1,2-propandiol; growth: acetate
builds gas from	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "produces gas from" + ChEBI lookup	16	builds gas from: glucose; builds gas from: nitrate; builds gas from: cellobiose
aerobic catabolization	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "aerobically catabolizes" + ChEBI lookup	9	aerobic catabolization: 2-oxoglutarate; aerobic catabolization: glucose; aerobic catabolization: acetate
builds base from	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "produces base from" + ChEBI lookup	7	builds base from: acetate; builds base from: gluconate; builds base from: adipate
anaerobic catabolization	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "anaerobically catabolizes" + ChEBI lookup	4	anaerobic catabolization: acetate; anaerobic catabolization: cellobiose; anaerobic catabolization: fructose
sulfur source	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "uses as sulfur source" + ChEBI lookup	2	sulfur source: cysteine; sulfur source: elemental sulfur
carbon source	CHEBI	Pattern resolver exists (METPO:2000006) but ChEBI lookup fails for these compounds	27	carbon source: 1,2-propandiol; carbon source: beta-hydroxybutyrate; carbon source: bromosuccinate
produces	CHEBI	Pattern resolver exists (METPO:2000202) but ChEBI lookup fails for these compounds	79	produces: poly-beta-hydroxyalkanoate; produces: fluorescein; produces: phenazines
fermentation	CHEBI	Pattern resolver exists (METPO:2000011) but ChEBI lookup fails for these compounds	77	fermentation: arabinogalactan; fermentation: myo-inositol; fermentation: casein hydrolysate
degradation	CHEBI/ENVO	Pattern resolver exists (METPO:2000007) but ChEBI/ENVO lookup fails; some are materials (plastic) vs chemicals	12	degradation: plastic; degradation: aromatic compound; degradation: hydrocarbon
hydrolysis	CHEBI	Pattern resolver exists (METPO:2000013) but ChEBI lookup fails for these compounds	9	hydrolysis: casein hydrolysate; hydrolysis: cationic chitosan; hydrolysis: crab shell chitin
respiration	CHEBI	Pattern resolver exists (METPO:2000008) but ChEBI lookup fails for these compounds	6	respiration: 1% sodium lactate; respiration: beta-hydroxybutyrate; respiration: bromosuccinate
oxidation	CHEBI	Pattern resolver exists (METPO:2000016) but ChEBI lookup fails for these compounds	5	oxidation: sulfur compounds; oxidation: beta-hydroxybutyrate; oxidation in darkness: sulfur compounds
reduction	CHEBI	Pattern resolver exists (METPO:2000017) but ChEBI lookup fails for these compounds	5	reduction: arsenate detoxification; reduction: amorphous iron (iii) oxide; reduction: esculin hydrolysate
utilizes	CHEBI	Pattern resolver exists (METPO:2000001) but ChEBI lookup fails for these compounds	4	utilizes: 1,2-propandiol; utilizes: 2-oxogluconate; utilizes: 4-nitrophenyl beta-D-galactopyranoside
electron acceptor	CHEBI	Pattern resolver exists (METPO:2000008) but ChEBI lookup fails for these compounds	4	electron acceptor: amorphous iron (iii) oxide; electron acceptor: ethylenediaminetetraacetatoferrate; electron acceptor: sulfur compounds
enzyme activity	EC/GO	Map to EC numbers when present in trait name; otherwise map to GO molecular function; some need enzyme name resolution	53	enzyme activity: catalase; enzyme activity: lipase; enzyme activity: alanine aminopeptidase
